,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,shaft_power,power_rate,EMshaft_power,FC_power,FC_stack_power,H2_fc,BAT_ec,BAT_power,FC_efficiency,FC_airflow,V_cell,V_stack,V_pack,V_core,I_cell,I_stack,I_pack,I_core,slope_angle,acceleration,CT,TP_thermal_efficiency,TP_air_flow,name,ceiling,max_mach,delta_time,H2_mass
1970,23013.77185694987,111.62596861161438,3047.999999999999,452785.34914736764,170.25725233966688,3746.678798476268,0.0,3,0.33992065749735706,95.9255772793899,0.6684238766813477,0.039842612950766104,13452.541382281639,1.0,0.0,1.0,False,8.775458941506127e-08,17585.879567573444,2142552.4641022324,2142552.4641022324,1082.4197224442491,2142552.4641022324,0.5172058731105444,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17960281395783406,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1971,23013.73425318751,111.66188917440594,3047.999999999999,452807.67434108997,170.29485607097322,3746.878798476268,0.0,3,0.3400300419127727,95.95644555103705,0.667992803224141,0.03982589852189137,13455.553541869409,1.0,0.0,1.0,False,8.775324841620484e-08,17580.892948779903,2142583.436229549,2142583.436229549,1082.0654229737604,2142583.436229549,0.5172094827327515,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.1792555419961502,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1972,23013.696649456204,111.69774028280517,3047.999999999999,452830.00671892485,170.3324597714658,3747.078798476268,0.0,3,0.3401392148273789,95.9872541371759,0.6675629761241181,0.03980924375171262,13458.564651806028,1.0,0.0,1.0,False,8.77519102866552e-08,17575.918466016024,2142614.3527683304,2142614.3527683304,1081.7117770176487,2142614.3527683304,0.517213085822607,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17890884184863395,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1973,23013.65904575571,111.7335220511749,3047.999999999999,452852.3462669814,170.37006344138084,3747.2787984762676,0.0,3,0.3402481765894307,96.0180031360839,0.6671343910796154,0.03979264837528157,13461.57469025697,1.0,0.0,1.0,False,8.775057502071472e-08,17570.95608712304,2142645.2137884814,2142645.2137884814,1081.3587836265638,2142645.2137884814,0.5172166823885495,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.1785627130694778,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1974,23013.621442085794,111.7692345937888,3047.999999999999,452874.6929713916,170.40766708095344,3747.4787984762675,0.0,3,0.3403569275469113,96.04869264596195,0.6667070438069358,0.03977611212908072,13464.583635543242,1.0,0.0,1.0,False,8.774924261269397e-08,17566.00578003668,2142676.019359974,2142676.019359974,1081.0064418512904,2142676.019359974,0.5172202724390232,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.1782171552102195,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1975,23013.583838446222,111.80487802483084,3047.999999999999,452897.04681831034,170.44527069041766,3747.6787984762673,0.0,3,0.34046546804753114,96.07932276493383,0.6662809300402576,0.039759634751014246,13467.591466140553,1.0,0.0,1.0,False,8.774791305691098e-08,17561.067512786933,2142706.7695528516,2142706.7695528516,1080.6547507427613,2142706.7695528516,0.5172238559824806,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.1778721678197668,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1976,23013.54623483676,111.8404524583948,3047.999999999999,452919.4077939153,170.48287427000636,3747.878798476267,0.0,3,0.3405737984387256,96.10989359104583,0.6658560455315476,0.03974321598039909,13470.598160678464,1.0,0.0,1.0,False,8.774658634769181e-08,17556.141253497703,2142737.4644372226,2142737.4644372226,1080.3037093520613,2142737.4644372226,0.5172274330273803,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17752775044442073,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1977,23013.50863125717,111.87595800848368,3047.999999999999,452941.775884407,170.52047781995137,3748.078798476267,0.0,3,0.3406819190676539,96.14040522226625,0.6654323860504737,0.03972685555795597,13473.603697939554,1.0,0.0,1.0,False,8.774526247937118e-08,17551.226970386513,2142768.104083263,2142768.104083263,1079.9533167304362,2142768.104083263,0.5172310035821877,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17718390262789793,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1978,23013.471027707223,111.91139478900926,3047.999999999999,452964.1510760087,170.5580813404834,3748.2787984762667,0.0,3,0.34078983028119736,96.17085775648493,0.6650099473843165,0.03971055322580064,13476.608056858588,1.0,0.0,1.0,False,8.774394144629079e-08,17546.324631764244,2142798.6885612155,2142798.6885612155,1079.6035719293004,2142798.6885612155,0.5172345676553751,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.17684062391135583,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
1979,23013.43342418669,111.94676291379153,3047.999999999999,452986.5333549665,170.59568483183207,3748.4787984762665,0.0,3,0.3408975324259578,96.20125129151292,0.664588725337884,0.039694308726911674,13479.611216343972,1.0,0.0,1.0,False,8.774262324280106e-08,17541.43420603481,2142829.217941385,2142829.217941385,1079.2544740002463,2142829.217941385,0.5172381252554212,0.0,0.0,0.0,0.0,0.0,0.0,0.6617056266879056,0.0,0.8292329070025068,248.5506520326388,2485.506520326388,2485.506520326388,0.0,0.0,0.0,0.0,0.0,0.1764979138411367,,,,diversion climb,,0.39018203660788947,0.1999999999998181,
