,TP_total_temperature,TP_total_pressure
3159,"[51858.18169621608, 51858.18169621608, 465.6518279210994, 647.8613038272965, 1403.9020648468338, 1239.5675934436133, 1050.5990634720406, 807.2432750818019, 807.2432750818019]","[51858.18169621608, 51858.18169621608, 306415.5398876875, 809035.7798135204, 752403.275226574, 414697.7132058235, 187929.9474143314, 54809.92907929333, 54809.92907929333]"
3160,"[51863.398667443646, 51863.398667443646, 465.6591947857399, 647.8686711261897, 1403.9020681926988, 1239.5675673368846, 1050.5990034800404, 807.2372499351605, 807.2372499351605]","[51863.398667443646, 51863.398667443646, 306434.5857661661, 809075.4848171293, 752440.2008799303, 414718.01877667144, 187939.11694465906, 54810.70485059107, 54810.70485059107]"
3161,"[51868.6102563523, 51868.6102563523, 465.66655352298716, 647.8760302984576, 1403.9020715444801, 1239.5675412675128, 1050.598943561519, 807.2312318240973, 807.2312318240973]","[51868.6102563523, 51868.6102563523, 306453.61145302845, 809115.1472998193, 752477.086988832, 414738.30259892286, 187948.2766517325, 54811.47983945202, 54811.47983945202]"
3162,"[51873.81645928481, 51873.81645928481, 465.6739041287677, 647.8833813394716, 1403.9020748979024, 1239.5675152317021, 1050.5988837132559, 807.2252207483956, 807.2252207483956]","[51873.81645928481, 51873.81645928481, 306472.616935443, 809154.7672344375, 752513.9335280269, 414758.5646586415, 187957.42652924353, 54812.25404520128, 54812.25404520128]"
3163,"[51879.01727262875, 51879.01727262875, 465.6812465969033, 647.8907242406127, 1403.902078234157, 1239.5674892127095, 1050.5988239209807, 807.2192167017139, 807.2192167017139]","[51879.01727262875, 51879.01727262875, 306491.60219649755, 809194.3445791538, 752550.740458613, 414778.8049341824, 187966.5665673255, 54813.027466877145, 54813.027466877145]"
3164,"[51884.21269281627, 51884.21269281627, 465.6885809273994, 647.8980590047728, 1403.9020815754857, 1239.5674632303628, 1050.5987642016303, 807.2132196948168, 807.2132196948168]","[51884.21269281627, 51884.21269281627, 306510.56723142735, 809233.8793348862, 752587.5077814442, 414799.02342633513, 187975.6967664591, 54813.8001043531, 54813.8001043531]"
3165,"[51889.40271632397, 51889.40271632397, 465.695907114585, 647.9053856241733, 1403.902084905649, 1239.5674372702078, 1050.5987045428872, 807.2072297223367, 807.2072297223367]","[51889.40271632397, 51889.40271632397, 306529.5120243935, 809273.3714631309, 752624.2354607118, 414819.2201151923, 187984.81711757596, 54814.57195673243, 54814.57195673243]"
3166,"[51894.587339672835, 51894.587339672835, 465.70322515756806, 647.9127040999199, 1403.902088240041, 1239.5674113459713, 1050.5986449564807, 807.2012467920762, 807.2012467920762]","[51894.587339672835, 51894.587339672835, 306548.436568955, 809312.820958404, 752660.9234913158, 414839.39499817404, 187993.92761959898, 54815.3430237636, 54815.3430237636]"
3167,"[51899.76655942776, 51899.76655942776, 465.71053505143834, 647.9200144255502, 1403.9020915667002, 1239.5673854470094, 1050.5985854333449, 807.195270900356, 807.195270900356]","[51899.76655942776, 51899.76655942776, 306567.3408508425, 809352.2277872878, 752697.5718421777, 414859.5480580333, 188003.02826468396, 54816.11330464921, 54816.11330464921]"
3168,"[51904.94037219773, 51904.94037219773, 465.71783679440557, 647.9273166003836, 1403.9020948941761, 1239.5673595809508, 1050.5985259800045, 807.1893020520197, 807.1893020520197]","[51904.94037219773, 51904.94037219773, 306586.2248619362, 809391.591937892, 752734.1805022396, 414879.6792888179, 188012.11905019483, 54816.882799012594, 54816.882799012594]"
3169,"[51910.108774635555, 51910.108774635555, 465.7251303818104, 647.93461061832, 1403.9020982113707, 1239.5673337379203, 1050.5984665880487, 807.1833402436495, 807.1833402436495]","[51910.108774635555, 51910.108774635555, 306605.0885885373, 809430.9133783526, 752770.749441868, 414899.7886740885, 188021.19996865638, 54817.651506086666, 54817.651506086666]"
3170,"[51915.27176343755, 51915.27176343755, 465.73241581325686, 647.9418964811812, 1403.902101535369, 1239.5673079331507, 1050.598407270491, 807.177385483559, 807.177385483559]","[51915.27176343755, 51915.27176343755, 306623.9320253363, 809470.1921062605, 752807.2786588223, 414919.87621286075, 188030.271019721, 54818.41942568018, 54818.41942568018]"
3171,"[51920.42933534354, 51920.42933534354, 465.73969308216977, 647.949174179179, 1403.9021048414154, 1239.567282144598, 1050.5983480085358, 807.1714377625237, 807.1714377625237]","[51920.42933534354, 51920.42933534354, 306642.7551549613, 809509.428076294, 752843.7681109535, 414939.9418816205, 188039.33219264724, 54819.18655676289, 54819.18655676289]"
3172,"[51925.581487137526, 51925.581487137526, 465.74696219234727, 647.9564437218729, 1403.9021081739036, 1239.5672564118254, 1050.5982888359565, 807.1654971001747, 807.1654971001747]","[51925.581487137526, 51925.581487137526, 306661.55798039783, 809548.6213149298, 752880.2178228848, 414959.98569453997, 188048.38349407451, 54819.952899708405, 54819.952899708405]"
3173,"[51930.728215646755, 51930.728215646755, 465.75422313224493, 647.9637050900756, 1403.9021114739417, 1239.5672306823747, 1050.5982297080056, 807.1595634729208, 807.1595634729208]","[51930.728215646755, 51930.728215646755, 306680.340474619, 809587.771742223, 752916.6277202674, 414980.0076099193, 188057.42490487048, 54820.718452809575, 54820.718452809575]"
3174,"[51935.869517741696, 51935.869517741696, 465.7614759078154, 647.9709582972717, 1403.9021147995657, 1239.567205007963, 1050.5981706688265, 807.1536369059983, 807.1536369059983]","[51935.869517741696, 51935.869517741696, 306699.10264491045, 809626.8793994059, 752952.9978414476, 415000.0076496683, 188066.45643524028, 54821.483216728615, 54821.483216728615]"
3175,"[51941.00539033542, 51941.00539033542, 465.76872050814603, 647.9782033253516, 1403.902118095322, 1239.5671793391957, 1050.5981116762846, 807.1477173771575, 807.1477173771575]","[51941.00539033542, 51941.00539033542, 306717.8444655593, 809665.9442107293, 752989.3281159783, 415019.9857742814, 188075.47806705983, 54822.24718984023, 54822.24718984023]"
3176,"[51946.13583038375, 51946.13583038375, 465.7759569343434, 647.9854401786338, 1403.9021213859592, 1239.5671536981317, 1050.5980527492163, 807.1418048976251, 807.1418048976251]","[51946.13583038375, 51946.13583038375, 306736.5659344367, 809704.9661836637, 753025.6185508072, 415039.941987935, 188084.4898023524, 54823.01037214653, 54823.01037214653]"
3177,"[51951.2608348849, 51951.2608348849, 465.7831851840109, 647.9926688548335, 1403.902124672338, 1239.5671280855483, 1050.5979938882974, 807.1358994685958, 807.1358994685958]","[51951.2608348849, 51951.2608348849, 306755.26704258984, 809743.9453013102, 753061.8691302185, 415059.87628200895, 188093.4916372363, 54823.77276317307, 54823.77276317307]"
3178,"[51956.380400879476, 51956.380400879476, 465.79040525887723, 647.9998893593305, 1403.9021279825906, 1239.5671025265187, 1050.5979351149354, 807.1300011026173, 807.1300011026173]","[51956.380400879476, 51956.380400879476, 306773.94778918737, 809782.8815752805, 753098.0798650108, 415079.7886628454, 188102.48357473, 54824.534363003164, 54824.534363003164]"
3179,"[51961.494525450165, 51961.494525450165, 465.79761714928856, 648.0071016761649, 1403.902131268129, 1239.5670769777646, 1050.5978763922137, 807.1241097801196, 807.1241097801196]","[51961.494525450165, 51961.494525450165, 306792.60815113445, 809821.774938192, 753134.2506925185, 415099.67909531447, 188111.46559872187, 54825.29517017509, 54825.29517017509]"
3180,"[51966.603205721716, 51966.603205721716, 465.8048208583605, 648.0143058132094, 1403.9021345656065, 1239.5670514719502, 1050.5978177480165, 807.1182255171187, 807.1182255171187]","[51966.603205721716, 51966.603205721716, 306811.2481303949, 809860.625411101, 753170.381632324, 415119.54759070714, 188120.4377145095, 54826.05518495687, 54826.05518495687]"
3181,"[51971.70643886068, 51971.70643886068, 465.81201637897306, 648.0215017591423, 1403.9021378426485, 1239.5670259802412, 1050.5977591577516, 807.112348300729, 807.112348300729]","[51971.70643886068, 51971.70643886068, 306829.8677089137, 809899.4329440146, 753206.4726379336, 415139.3941230127, 188129.39991018447, 54826.81440622691, 54826.81440622691]"
3182,"[51976.80422207529, 51976.80422207529, 465.8192037134657, 648.0286895202842, 1403.902141129929, 1239.5670005299753, 1050.5977006447574, 807.1064781443744, 807.1064781443744]","[51976.80422207529, 51976.80422207529, 306848.4668872107, 809938.197552437, 753242.5237237664, 415159.2187006003, 188138.35218969366, 54827.57283414475, 54827.57283414475]"
3183,"[51981.89655261527, 51981.89655261527, 465.8263828582636, 648.0358690918439, 1403.902144418077, 1239.5669751128114, 1050.5976422019278, 807.1006150446931, 807.1006150446931]","[51981.89655261527, 51981.89655261527, 306867.0456542543, 809976.9192107838, 753278.5348660289, 415179.0213102639, 188147.29454703126, 54828.33046806633, 54828.33046806633]"
3184,"[51986.983427771775, 51986.983427771775, 465.83355380959637, 648.0430404686148, 1403.9021476960268, 1239.5669497188999, 1050.597583820869, 807.0947589975688, 807.0947589975688]","[51986.983427771775, 51986.983427771775, 306885.603998667, 810015.5978920292, 753314.5060395872, 415198.80193803716, 188156.22697583924, 54829.08730731928, 54829.08730731928]"
3185,"[51992.064844877044, 51992.064844877044, 465.84071656311687, 648.0502036442623, 1403.9021509484649, 1239.5669243346056, 1050.597525489957, 807.0889099970635, 807.0889099970635]","[51992.064844877044, 51992.064844877044, 306904.14190797764, 810054.2335650605, 753350.4372155063, 415218.5605678046, 188165.14946876682, 54829.84335115131, 54829.84335115131]"
3186,"[51997.14080130445, 51997.14080130445, 465.8478711224043, 648.0573586272274, 1403.9021542128498, 1239.5668989933092, 1050.5974672376854, 807.0830680592557, 807.0830680592557]","[51997.14080130445, 51997.14080130445, 306922.65938528854, 810092.8262536449, 753386.3284158898, 415238.29721225513, 188174.0620317471, 54830.59859988397, 54830.59859988397]"
3187,"[52002.2112944683, 52002.2112944683, 465.8550174855076, 648.0645054155582, 1403.9021574891772, 1239.5668736950145, 1050.5974090640673, 807.0772331845166, 807.0772331845166]","[52002.2112944683, 52002.2112944683, 306941.15642290114, 810131.3759431207, 753422.1796271023, 415258.0118639004, 188182.96466140557, 54831.35305308703, 54831.35305308703]"
3188,"[52007.27632182422, 52007.27632182422, 465.86215564545813, 648.0716439978693, 1403.902160743415, 1239.5668484094087, 1050.5973509432474, 807.0714053589472, 807.0714053589472]","[52007.27632182422, 52007.27632182422, 306959.63300331926, 810169.8825839451, 753457.990803069, 415277.70449693635, 188191.8573459181, 54832.10670964766, 54832.10670964766]"
3189,"[52012.335880868646, 52012.335880868646, 465.8692856052404, 648.0787743813415, 1403.9021640078943, 1239.5668231653042, 1050.5972928998196, 807.0655845963458, 807.0655845963458]","[52012.335880868646, 52012.335880868646, 306978.0891285931, 810208.3461955122, 753493.7619618264, 415297.3751217447, 188200.7400901488, 54832.859569801985, 54832.859569801985]"
