,TP_total_temperature,TP_total_pressure
512,"[101516.9648220051, 101516.9648220051, 500.287603954648, 684.7793420668355, 1421.4866202470228, 1255.1068439027647, 1065.66680863799, 857.6351597250607, 857.6351597250607]","[101516.9648220051, 101516.9648220051, 523182.53875324875, 1316637.1690558158, 1224472.5672219088, 674919.0000030417, 308474.6545913335, 111723.16844065182, 111723.16844065182]"
513,"[101517.66283901222, 101517.66283901222, 500.28781398954413, 684.7792419634418, 1421.484230668855, 1255.104712706442, 1065.6649839859704, 857.6336248908686, 857.6336248908686]","[101517.66283901222, 101517.66283901222, 523183.73180188285, 1316637.9804876558, 1224473.32185352, 674919.3611163744, 308474.7986842445, 111723.18019136206, 111723.18019136206]"
514,"[101518.36191862427, 101518.36191862427, 500.2880243437465, 684.7791417092735, 1421.4818374687713, 1255.1025782798665, 1065.6631565683676, 857.6320877300745, 857.6320877300745]","[101518.36191862427, 101518.36191862427, 523184.92666410125, 1316638.7931548953, 1224474.0776340526, 674919.7227797008, 308474.94299673353, 111723.19195996862, 111723.19195996862]"
515,"[101519.06205974417, 101519.06205974417, 500.2882350158452, 684.7790413024794, 1421.4794406433714, 1255.100440620012, 1065.6613263825993, 857.6305482421046, 857.6305482421046]","[101519.06205974417, 101519.06205974417, 523186.1233346634, 1316639.607044763, 1224474.8345516296, 674920.0849864113, 308475.0875257618, 111723.20374628661, 111723.20374628661]"
516,"[101519.76326127519, 101519.76326127519, 500.2884460067534, 684.778940745553, 1421.4770402048323, 1255.098299737732, 1065.6594934379477, 857.6290064329175, 857.6290064329175]","[101519.76326127519, 101519.76326127519, 523187.3218155574, 1316640.4221692656, 1224475.592617417, 674920.4477429212, 308475.2322743537, 111723.21555048993, 111723.21555048993]"
517,"[101520.46552212117, 101520.46552212117, 500.28865731605373, 684.7788400384987, 1421.4746361564023, 1255.0961556359234, 1065.657657736894, 857.6274623047266, 857.6274623047266]","[101520.46552212117, 101520.46552212117, 523188.5221046307, 1316641.2385262153, 1224476.3518293803, 674920.8110481817, 308475.37724205916, 111723.22737254675, 111723.22737254675]"
518,"[101521.16884118621, 101521.16884118621, 500.28886894295914, 684.7787391806298, 1421.472228498854, 1255.0940083152789, 1065.655819280035, 857.625915858708, 857.625915858708]","[101521.16884118621, 101521.16884118621, 523189.7241985822, 1316642.0561094843, 1224477.1121818204, 674921.1748990779, 308475.52242746623, 111723.23921236859, 111723.23921236859]"
519,"[101521.87321737484, 101521.87321737484, 500.28908088668396, 684.7786381712613, 1421.4698172329638, 1255.0918577764933, 1065.65397806797, 857.6243670960375, 857.6243670960375]","[101521.87321737484, 101521.87321737484, 523190.928094115, 1316642.8749129577, 1224477.8736690506, 674921.5392924984, 308475.6678291651, 111723.25106986686, 111723.25106986686]"
520,"[101522.57864959231, 101522.57864959231, 500.2892931474336, 684.7785370115612, 1421.4674023661514, 1255.0897040261814, 1065.6521341063576, 857.6228160206779, 857.6228160206779]","[101522.57864959231, 101522.57864959231, 523192.1337910163, 1316643.6949410874, 1224478.6362952113, 674921.9042308871, 308475.8134483308, 111723.26294510603, 111723.26294510603]"
521,"[101523.28513674393, 101523.28513674393, 500.289505725499, 684.7784357028581, 1421.4649839064075, 1255.0875470714657, 1065.650287401291, 857.6212626368301, 857.6212626368301]","[101523.28513674393, 101523.28513674393, 523193.34128933825, 1316644.516199237, 1224479.4000652905, 674922.269717165, 308475.95928636176, 111723.27483816378, 111723.27483816378]"
522,"[101523.9926777358, 101523.9926777358, 500.28971861944274, 684.7783342432471, 1421.462561850132, 1255.085386909143, 1065.6484379500373, 857.6197069438343, 857.6197069438343]","[101523.9926777358, 101523.9926777358, 523194.55058375874, 1316645.33867434, 1224480.1649671362, 674922.6357445698, 308476.1053401482, 111723.28674885094, 111723.28674885094]"
523,"[101524.70127147423, 101524.70127147423, 500.2899318295276, 684.778232634003, 1421.4601362051224, 1255.0832235461628, 1065.6465857585415, 857.61814894581, 857.61814894581]","[101524.70127147423, 101524.70127147423, 523195.7616742434, 1316646.1623714569, 1224480.9310054549, 674923.0023158619, 308476.2516110127, 111723.29867724069, 111723.29867724069]"
524,"[101525.41091686602, 101525.41091686602, 500.29014535502506, 684.7781308745463, 1421.457706972526, 1255.0810569835526, 1065.6447308276865, 857.6165886440883, 857.6165886440883]","[101525.41091686602, 101525.41091686602, 523196.97455767455, 1316646.9872850769, 1224481.6981751216, 674923.3694282508, 308476.3980976944, 111723.31062325361, 111723.31062325361]"
525,"[101526.12161281855, 101526.12161281855, 500.2903591963954, 684.7780289665207, 1421.4552741614618, 1255.0788872294393, 1065.6428731644244, 857.6150260433413, 857.6150260433413]","[101526.12161281855, 101526.12161281855, 523198.1892346346, 1316647.8134223695, 1224482.4664828037, 674923.7370856056, 308476.5448020329, 111723.32258699318, 111723.32258699318]"
