,mass,equivalent_airspeed,altitude,ground_distance,engine_setting,true_airspeed,mach,CL,CD,drag,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,slope_angle,acceleration,time,name,RC,climb_gradient,slope_angle_penalty,RC_penalty,altitude_penalty
1709,23052.64782881325,63.950472723733064,5797.563340963416,261725.59053501845,9,86.1730711723528,0.27161311010295036,1.5064901329687777,0.09705958200052413,14565.1048848316,1.0,False,7.682239322623649e-08,16629.95163556822,1694090.0908762936,1.0000084311532864,1694075.8078634785,0.3273286183646879,1198.5118244667494,5.193883872490267,0.4034786968152993,0.009133691386241599,0.0,3418.0,OEI_ceiling,0.7870782378929031,0.009133691386241594,-0.001866306446911545,-0.16082535827912944,2918.2232755731943
1710,23052.387540703006,63.950472723733064,5799.137475552137,261897.9294884834,9,86.1805626048306,0.2716422712520403,1.5064731231453201,0.09705804971389631,14564.87494446932,1.0,False,7.68203665396143e-08,16627.270515162403,1693924.4043675372,1.000008537941412,1693909.941863696,0.3273397236487714,1198.4181100042508,5.193189679515036,0.40348379137891016,0.009122951786648077,0.0,3420.0,OEI_ceiling,0.7862211175900757,0.009122951786648084,-0.0018770460088823316,-0.1617648810806312,2917.901624856636
1711,23052.12728491574,63.950472723733064,5800.709895975473,262070.28344108546,9,86.18804683525444,0.2716714049611863,1.5064561154341678,0.09705651763525708,14564.645035318546,1.0,False,7.68183421470712e-08,16624.592623649154,1693758.9079232682,1.00000864483426,1693744.2657848117,0.3273508175778067,1198.3245095534855,5.192496318060925,0.40348888035234937,0.009112226076766528,0.0,3422.0,OEI_ceiling,0.7853649678777803,0.009112226076766525,-0.0018877716807576763,-0.1627033540354096,2917.5780950944745
1712,23051.867061413133,63.950472723733064,5802.280604174337,262242.65237838234,9,86.1955238699007,0.27170051125306544,1.5064391098328174,0.09705498576437435,14564.415157344452,1.0,False,7.68163200457845e-08,16621.917956744925,1693593.6012938374,1.0000087518204015,1693578.7793965242,0.3273619001634652,1198.2310229524107,5.1918037869961635,0.4034939637433007,0.009101514238333105,0.0,3424.0,OEI_ceiling,0.7845097877824823,0.009101514238333108,-0.0018984834808005353,-0.1636407781859547,2917.252688386404
1713,23051.606870156924,63.950472723733064,5803.849602087699,262415.0362859444,9,86.20299371504368,0.2717295901503504,1.5064221063387682,0.09705345410101628,14564.185310512243,1.0,False,7.681430023304172e-08,16619.24651017211,1693428.4842174104,1.0000088588810452,1693413.4824688088,0.32737297141691013,1198.1376500281058,5.191112085174615,0.40349904155944,0.009090816253109094,0.0,3426.0,OEI_ceiling,0.78365557633138,0.00909081625310909,-0.0019091814272488156,-0.16457715457400776,2916.925406830032
1714,23051.346711108905,63.950472723733064,5805.416891652584,262587.4351493547,9,86.21045637695543,0.2717586416757093,1.5064051049495248,0.0970519226449515,14563.955494787191,1.0,False,7.681228270546227e-08,16616.578279658817,1693263.556511143,1.0000089660438927,1693248.3747718937,0.32738403135243144,1198.0443906777139,5.190421211552069,0.4035041138084287,0.0090801321028797,0.0,3428.0,OEI_ceiling,0.7828023325523029,0.00908013210287971,-0.0019198655383164571,-0.165512484240651,2916.596252520884
1715,23051.08658423091,63.950472723733064,5806.982474804074,262759.84895420884,9,86.2179118619059,0.2717876658518056,1.506388105662591,0.09705039139594857,14563.725710134584,1.0,False,7.681026746074286e-08,16613.913260939175,1693098.8178667328,1.0000090732623865,1693083.4560762935,0.3273950799792945,1197.9512446869558,5.189731164925536,0.4035091804979216,0.009069461769455686,0.0,3430.0,OEI_ceiling,0.7819500554738555,0.00906946176945568,-0.0019305358321919344,-0.16644676822617538,2916.2652275524024
1716,23050.826489484836,63.950472723733064,5808.546353475307,262932.2776861151,9,86.22536017616277,0.2718166627012979,1.506371108475478,0.0970488603537768,14563.495956519793,1.0,False,7.680825449524364e-08,16611.25144975292,1692934.2681331546,1.0000091805827116,1692918.7261527653,0.327406117313014,1197.8582119811142,5.18904194429374,0.40351424163555727,0.009058805234671221,0.0,3432.0,OEI_ceiling,0.7810987441252347,0.00905880523467123,-0.001941192327040227,-0.16738000757024712,2915.93233401595
1717,23050.566426832615,63.950472723733064,5810.108529597483,263104.72133069445,9,86.23280132599153,0.27184563224684033,1.5063541133856981,0.09704732951820552,14563.266233908198,1.0,False,7.680624380613335e-08,16608.59284184569,1692769.90706538,1.0000092879953757,1692754.1847723396,0.3274171433653346,1197.7652924019728,5.188353548536736,0.40351929722896535,0.009048162480385525,0.0,3434.0,OEI_ceiling,0.7802483975363756,0.009048162480385522,-0.001951835041001389,-0.16831220331178132,2915.5975740008093
1718,23050.306396236236,63.950472723733064,5811.66900509986,263277.17987358035,9,86.24023531765552,0.2718745745110821,1.5063371203907663,0.09704579888900432,14563.036542265232,1.0,False,7.680423539055757e-08,16605.93743296895,1692605.7344218711,1.0000093954927862,1692589.8317063174,0.3274281581481165,1197.6724857943698,5.1876659765402255,0.40352434728576503,0.009037533488482316,0.0,3436.0,OEI_ceiling,0.779399014737907,0.00903753348848231,-0.0019624639921908974,-0.16924335648896868,2915.2609495941856
