,TP_total_temperature,TP_total_pressure
3465,"[51797.43253885635, 51797.43253885635, 465.5660052711973, 647.7754761135121, 1403.9020258302312, 1239.5678975477776, 1050.599762337574, 807.3134952126262, 807.3134952126262]","[51797.43253885635, 51797.43253885635, 306193.7194443183, 808573.3181728787, 751973.1859007772, 414461.2050639946, 187823.14560113422, 54800.89689322129, 54800.89689322129]"
3466,"[51801.94112911425, 51801.94112911425, 465.57237719805005, 647.7818484166547, 1403.9020287294993, 1239.5678749717283, 1050.5997104520904, 807.3082799112667, 807.3082799112667]","[51801.94112911425, 51801.94112911425, 306210.18472887715, 808607.6477852646, 752005.1124402962, 414478.7616325167, 187831.07376673727, 54801.56714825955, 54801.56714825955]"
3467,"[51806.44562073156, 51806.44562073156, 465.5787429343031, 647.7882145266813, 1403.9020316093788, 1239.5678524028308, 1050.5996586043798, 807.3030699543569, 807.3030699543569]","[51806.44562073156, 51806.44562073156, 306226.63463269826, 808641.9449993977, 752037.0088494399, 414496.30162966176, 187838.9944473807, 54802.236806806904, 54802.236806806904]"
3468,"[51810.94601062383, 51810.94601062383, 465.58510248249263, 647.7945744511377, 1403.9020345084696, 1239.5678298754874, 1050.599606823814, 807.297865359846, 807.297865359846]","[51810.94601062383, 51810.94601062383, 306243.06915694615, 808676.2098350133, 752068.8751465623, 414513.82506606943, 187846.90764807604, 54802.90586915368, 54802.90586915368]"
3469,"[51815.44229573856, 51815.44229573856, 465.5914558330502, 647.8009281748915, 1403.902037383902, 1239.567807351517, 1050.5995550778296, 807.2926661116027, 807.2926661116027]","[51815.44229573856, 51815.44229573856, 306259.4882791278, 808710.4422279545, 752100.7112719978, 414531.3319083356, 187854.81335351872, 54803.57433395222, 54803.57433395222]"
3470,"[51819.93447305389, 51819.93447305389, 465.5978029883426, 647.8072757050954, 1403.9020402725494, 1239.5677848637836, 1050.5995033944848, 807.2874722267827, 807.2874722267827]","[51819.93447305389, 51819.93447305389, 306275.8920001327, 808744.6421966504, 752132.5172428848, 414548.8221664081, 187862.71156839843, 54804.24220146723, 54804.24220146723]"
3471,"[51824.42253957751, 51824.42253957751, 465.604143942467, 647.8136170333989, 1403.9020431555557, 1239.5677623954998, 1050.599451759472, 807.2822836992207, 807.2822836992207]","[51824.42253957751, 51824.42253957751, 306292.2803046946, 808778.8097022001, 752164.2930230461, 414566.29582013487, 187870.6022835213, 54804.90947084419, 54804.90947084419]"
3472,"[51828.90649234661, 51828.90649234661, 465.61047869224745, 647.8199521565165, 1403.9020460320714, 1239.5677399459207, 1050.5994001721704, 807.2771005302416, 807.2771005302416]","[51828.90649234661, 51828.90649234661, 306308.6531829097, 808812.9447245235, 752196.0385938069, 414583.75285924115, 187878.48549424703, 54805.57614159598, 54805.57614159598]"
3473,"[51833.38632842776, 51833.38632842776, 465.6168072367214, 647.8262810752651, 1403.9020489158129, 1239.567717527279, 1050.5993486430334, 807.2719227272239, 807.2719227272239]","[51833.38632842776, 51833.38632842776, 306325.0106292322, 808847.0472588058, 752227.7539506895, 414601.19328146393, 187886.36119963028, 54806.24221353348, 54806.24221353348]"
3474,"[51837.86204491677, 51837.86204491677, 465.62312957023886, 647.83260378166, 1403.9020517887895, 1239.5676951235578, 1050.5992971584096, 807.2667502842627, 807.2667502842627]","[51837.86204491677, 51837.86204491677, 306341.35262896883, 808881.1172677065, 752259.4390589672, 414618.6170674613, 187894.2293908472, 54806.90768583243, 54806.90768583243]"
3475,"[51842.33363893877, 51842.33363893877, 465.6294456911526, 647.8389202751673, 1403.9020546595777, 1239.5676727424095, 1050.5992457248435, 807.2615832065214, 807.2615832065214]","[51842.33363893877, 51842.33363893877, 306357.6791752869, 808915.154741548, 752291.0939096396, 414636.0242124104, 187902.09006576915, 54807.57255820882, 54807.57255820882]"
3476,"[51846.80110764785, 51846.80110764785, 465.635755594535, 647.8452305490815, 1403.9020575144812, 1239.5676503716434, 1050.5991943319477, 807.2564214898231, 807.2564214898231]","[51846.80110764785, 51846.80110764785, 306373.99025495833, 808949.1596478646, 752322.7184725142, 414653.41469952354, 187909.9432167481, 54808.23682993348, 54808.23682993348]"
3477,"[51851.264448227215, 51851.264448227215, 465.6420592840542, 647.8515346127394, 1403.9020603971746, 1239.5676280501814, 1050.5991430129488, 807.2512651539337, 807.2512651539337]","[51851.264448227215, 51851.264448227215, 306390.28587160807, 808983.1320136774, 752354.31277272, 414670.788543236, 187917.78885053634, 54808.900501439195, 54808.900501439195]"
3478,"[51855.72365788895, 51855.72365788895, 465.64835675116035, 647.8578324525904, 1403.9020632691281, 1239.5676057437074, 1050.599091738579, 807.2461141842319, 807.2461141842319]","[51855.72365788895, 51855.72365788895, 306406.56600496965, 809017.0717813069, 752385.8767566155, 414688.1457135182, 187925.6269533753, 54809.56357150438, 54809.56357150438]"
3479,"[51860.178733873974, 51860.178733873974, 465.65464799155984, 647.8641240630094, 1403.9020661200836, 1239.5675834430933, 1050.5990405010639, 807.2409685778784, 807.2409685778784]","[51860.178733873974, 51860.178733873974, 306422.83064313413, 809050.9789224967, 752417.4103979219, 414705.4861957824, 187933.4575186285, 54810.22603948202, 54810.22603948202]"
3480,"[51864.62967345192, 51864.62967345192, 465.6609330084, 647.8704094522535, 1403.9020689894112, 1239.5675611834256, 1050.5989893303565, 807.235828352742, 807.235828352742]","[51864.62967345192, 51864.62967345192, 306439.0797887854, 809084.8534604777, 752448.9137182443, 414722.81000246643, 187941.28055212394, 54810.88790573086, 54810.88790573086]"
3481,"[51869.07647392106, 51869.07647392106, 465.6672117949144, 647.876688610003, 1403.9020718497334, 1239.5675389403236, 1050.5989382056669, 807.2306934987644, 807.2306934987644]","[51869.07647392106, 51869.07647392106, 306455.3134252254, 809118.6953497422, 752480.3866752603, 414740.1171099209, 187949.09604304272, 54811.549169266975, 54811.549169266975]"
