,mass,true_airspeed,altitude,ground_distance,alpha,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass,max_mach
4182,21657.000842993693,144.37066532178773,4928.036256663999,1324477.739218815,,9648.125503007519,3,0.45,112.35008812329409,0.3,False,1.1485731108623061e-07,5215.2720233598475,855789.5264412011,0.3169868730260211,2699763.3002012367,0.20409030580203452,15.360895038245964,3.565744172688611,0.05753499106768404,0.4585476507232253,0.033050572233797405,15307.825379262827,-0.04752061636774838,0.0,descent,2.0,1897.8627803965041,
4183,21656.804255625968,144.39579068676045,4914.320254287957,1324766.1545916726,,9650.125503007519,3,0.45,112.45289275311629,0.3,False,1.1490327313203553e-07,5218.766003701717,856504.9656726969,0.31697500917126076,2702121.431945222,0.20398578689971747,14.837106020783233,3.570528886171046,0.05748832178746127,0.45770546907079873,0.0330287493080268,15325.726595208822,-0.047588884571514986,0.0,descent,2.0,1898.0596108445234,
4184,21656.60742517795,144.42095211688428,4900.582171870786,1325054.6192213306,,9652.125503007519,3,0.45,112.5559212724314,0.3,False,1.1494933644076398e-07,5222.265910529554,857221.7778748024,0.31696312233653673,2704484.267935259,0.20388112020158175,14.31141729614006,3.575326409040454,0.05744162251001813,0.45686377515405685,0.03300698239919258,15343.703480944241,-0.04765748294073342,0.0,descent,2.0,1898.256684993622,
4185,21656.41035102885,144.44614978645473,4886.821903929662,1325343.1331736234,,9654.125503007519,3,0.45,112.65917476758422,0.3,False,1.1499550152326672e-07,5225.771770053017,857939.9692641774,0.3169512123933818,2706851.829925645,0.20377630498713661,13.783818428967933,3.5801368068589956,0.057394893030531885,0.4560225667523618,0.03298527137465099,15361.756410006325,-0.04772641312351474,0.0,descent,2.0,1898.4540034677068,
4186,21656.213032554766,144.47138387063583,4873.039344425992,1325631.6965146875,,9656.125503007519,3,0.45,112.76265433146979,0.3,False,1.1504176889269212e-07,5229.283608622077,858659.5461100489,0.31693927921907356,2709224.1397965997,0.20367134053432603,13.25429891851843,3.584960145642405,0.05734813314363477,0.4551818416503393,0.032963616102394504,15379.885758677725,-0.047795676780333626,0.0,descent,2.0,1898.6515668938289,
4187,21656.015469128644,144.49665454546698,4859.234386761205,1325920.309310963,,9658.125503007519,3,0.45,112.86636106358601,0.3,False,1.1508813906697158e-07,5232.801452727972,859380.5146829864,0.3169273226776145,2711601.2195552085,0.20356622611399577,12.72284817027158,3.589796491807747,0.057301342643408484,0.45434159763785187,0.032942016451006056,15398.091905990068,-0.04786527558404163,0.0,descent,2.0,1898.8493759021994,
4188,21655.817660120272,144.52196198786905,4845.406923772535,1326208.9716291942,,9660.125503007519,3,0.45,112.97029607008577,0.3,False,1.151346125665214e-07,5236.325329004165,860102.8813038261,0.316915342637714,2713983.0913363644,0.20346096099507507,12.189455521459315,3.5946459122299874,0.05725452132337885,0.4535018325099809,0.03292047228964883,15416.37523374391,-0.0479352112199576,0.0,descent,2.0,1899.047431126212,
4189,21655.61960489626,144.54730637565135,4831.556847728766,1326497.683536432,,9662.125503007519,3,0.45,113.07446046383032,0.3,False,1.1518118991451973e-07,5239.855264227211,860826.6523386773,0.3169033389708315,2716369.77740367,0.20335554444398427,11.65411023754321,3.599508474240001,0.05720766897650934,0.45266254406700146,0.03289898348820536,15434.736126599179,-0.048005485386290334,0.0,descent,2.0,1899.2457332024649,
4190,21655.421302820007,144.5726878875181,4817.6840503258545,1326786.4451000344,,9664.125503007519,3,0.45,113.17885536444315,0.3,False,1.1522787163794699e-07,5243.3912853178435,861551.8341779865,0.3168913115433503,2718761.300150469,0.20324997572234363,11.116801500126416,3.6043842456053707,0.05716078539519663,0.45182373011435983,0.03287754991718737,15453.174972058772,-0.0480760997940573,0.0,descent,2.0,1899.444282770781,
4191,21655.38116751893,144.57782647017774,4814.8751537676435,1326844.8261284146,,9664.529787956759,3,0.45,113.20000000162443,0.3,False,1.1523732693585833e-07,5244.107277415581,861698.6926567724,0.316888875789352,2719245.6362197334,0.20322860320932706,11.007877502302474,3.6053721059169823,0.05715129818892218,0.45165411641692427,0.032873221143156536,15456.914209827026,-0.04809042486222138,0.0,descent,0.40428494923980907,1899.484428207201,
