,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,H2_fc,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time,H2_mass
273,22639.901168494212,96.49973207821824,2003.4563256407378,24644.764002248132,81.82885130441308,349.09467121386706,0.0,2,0.29021007595565146,87.45555555555556,0.7911024237093792,0.04506228435033059,12646.655573512478,1.0,0.0,1.0,False,8.073815723069343e-08,29011.157200269503,3157711.2602064903,3157711.2602064903,1772.8953408697798,0.010104591306118117,0.07370680420341115,0.0,,,,,,climb,8463.007826376346,,2.0,3.243201697363628
274,22639.37106373517,96.56871836157823,2017.6688225069745,24837.239450286314,82.33821438322894,351.09467121386706,0.0,2,0.2904663129097375,87.45555555555556,0.7910839003440786,0.04506142646253855,12646.414808722531,1.0,0.0,1.0,False,8.06789062775519e-08,28983.37338558824,3156730.1932896497,3156730.1932896497,1771.5201457742737,0.010094038810617484,0.07358447142669995,0.0,,,,,,climb,8463.007826376346,,2.0,3.263389774984863
275,22638.841512578732,96.63771200461863,2031.8679166895838,25029.85423473544,82.84704590219233,353.09467121386706,0.0,2,0.29072262022148054,87.45555555555556,0.7910653963232259,0.04506056949176078,12646.174301291103,1.0,0.0,1.0,False,8.061996901479757e-08,28955.554375369968,3155741.2213219595,3155741.2213219595,1770.1410481103808,0.01008350489874948,0.07346197143487576,0.0,,,,,,climb,8463.007826376346,,2.0,3.283556784782362
276,22638.312514049972,96.7067125861072,2046.0535431592273,25222.608372246454,83.35534680186713,355.09467121386706,0.0,2,0.29097899631589746,87.45555555555556,0.7910469116127524,0.045059713436353344,12645.934050756858,1.0,0.0,1.0,False,8.0561344167121e-08,28927.700882913006,3154744.4058303,3154744.4058303,1768.758090402468,0.010072989626018544,0.07333930744339603,0.0,,,,,,climb,8463.007826376346,,2.0,3.303702764034399
277,22637.784067171047,96.77571968563512,2060.2256373696737,25415.501878571933,83.86311802554847,357.09467121386706,0.0,2,0.2912354396200318,87.45555555555556,0.791028446178491,0.04505885829466803,12645.694056657207,1.0,0.0,1.0,False,8.05030304581285e-08,28899.813618312775,3153739.808251364,3153739.808251364,1767.3713150609108,0.010062493046550483,0.07321648265360957,0.0,,,,,,climb,8463.007826376346,,2.0,3.3238277501275
278,22637.48354912964,96.8149982979032,2068.285714285714,25525.390650179856,84.15200804011202,358.2332209357319,0.0,2,0.2913814254900967,87.45555555555556,0.791017945224924,0.04505837200065297,12645.557579046175,1.0,0.0,1.0,False,8.046997926221768e-08,28883.92658071235,3153164.583062151,3153164.583062151,1766.580333822923,0.010056527214310787,0.07314650547345776,0.0,,,,,,climb,8463.007826376346,,1.1385497218648197,3.33527760639028
279,22636.955965897992,96.8840147798111,2082.436445305204,25718.5028776366,84.65895002685612,360.2332209357319,0.0,2,0.2916379710910712,87.45555555555556,0.7909995099689503,0.04505751828940781,12645.317986397185,1.0,0.0,1.0,False,8.041215120342445e-08,28855.987745951654,3152147.897782543,3152147.897782543,1765.1876532252793,0.010046060073341533,0.07302343478492056,0.0,,,,,,climb,8473.427359232031,,2.0,3.355369726536963
280,22636.428931791103,96.95303670350069,2096.5734804481585,25911.754510273393,85.16536477312377,362.2332209357319,0.0,2,0.2918945798701453,87.45555555555556,0.7909810939009543,0.04505666548763024,12645.07864898878,1.0,0.0,1.0,False,8.035463099964654e-08,28828.016948599732,3151123.5878233495,3151123.5878233495,1763.7912634198128,0.010035611758469435,0.07290021145764283,0.0,,,,,,climb,8473.427359232031,,2.0,3.375440950053902
281,22635.902445821317,97.0220636515752,2110.6967568891223,26105.145560652396,85.67125323140192,364.2332209357319,0.0,2,0.292151250261899,87.45555555555556,0.7909626969864253,0.04505581359365693,12644.839566354132,1.0,0.0,1.0,False,8.029741737126977e-08,28800.0148871941,3150091.7142769345,3150091.7142769345,1762.3912063979624,0.010025182319013393,0.07277683864202433,0.0,,,,,,climb,8473.427359232031,,2.0,3.3954913146919288
282,22635.3765069984,97.0910952075018,2124.806212283687,26298.676040446433,86.17661635659985,366.2332209357319,0.0,2,0.29240798070310675,87.45555555555556,0.7909443191907609,0.04505496260582052,12644.600738025312,1.0,0.0,1.0,False,8.024050903795674e-08,28771.98225700039,3149052.3381330315,3149052.3381330315,1760.9875240305018,0.010014771802977175,0.07265331947403182,0.0,,,,,,climb,8473.427359232031,,2.0,3.4155208582978833
283,22634.851114329595,97.16013095562018,2138.90178476798,26492.345960441016,86.68145510598353,368.2332209357319,0.0,2,0.2926647696327739,87.45555555555556,0.790925960479272,0.04505411252244987,12644.362163533307,1.0,0.0,1.0,False,8.018390471872402e-08,28743.91974999837,3148005.520276109,3148005.520276109,1759.580258066146,0.010004380257063197,0.07252965707513324,0.0,,,,,,climb,8473.427359232031,,2.0,3.43552961881201
