Altitude,FR,F_prop,Mach,Ratio,eta
13793.10345,693.2361283,10289.88301,0.3,0.067370652,0.9
14655.17241,689.100602,10149.06873,0.3,0.067897915,0.9
15517.24138,684.8856383,10008.51519,0.3,0.068430294,0.9
16379.31034,680.5926408,9868.233604,0.3,0.068968031,0.9
17241.37931,676.2227567,9728.23363,0.3,0.069511361,0.9
18103.44828,672.2254213,9593.263688,0.3,0.070072651,0.9
18965.51724,667.7787315,9454.594418,0.3,0.070630077,0.9
19827.58621,663.2707136,9316.357848,0.3,0.071194207,0.9
20689.65517,658.6665334,9178.19596,0.3,0.07176427,0.9
21551.72414,654.363691,9041.285469,0.3,0.072375072,0.9
22413.7931,649.3600472,8900.661938,0.3,0.072956377,0.9
23275.86207,644.6139569,8763.634856,0.3,0.073555547,0.9
24137.93103,639.814416,8627.020893,0.3,0.074164004,0.9
25000,634.9618386,8490.810394,0.3,0.074782242,0.9
0,430.6768323,8922.600093,0.4,0.048268086,0.9
862.0689655,446.0129913,8942.953929,0.4,0.049873117,0.9
1724.137931,461.0965453,8963.247354,0.4,0.051443024,0.9
2586.206897,476.1181413,8983.373576,0.4,0.052999927,0.9
3448.275862,491.0857258,9003.306212,0.4,0.054545043,0.9
4310.344828,506.0073501,9023.017077,0.4,0.056079618,0.9
5172.413793,521.8702513,9052.195661,0.4,0.057651234,0.9
6034.482759,536.9309711,9073.291758,0.4,0.059177086,0.9
6896.551724,552.0034697,9094.340712,0.4,0.06069747,0.9
7758.62069,560.4571737,9051.491601,0.4,0.061918764,0.9
8620.689655,561.50833,8938.923826,0.4,0.0628161,0.9
9482.758621,562.3672931,8826.530502,0.4,0.063713289,0.9
10344.82759,563.0384312,8714.322262,0.4,0.064610697,0.9
11206.89655,563.5518585,8602.550496,0.4,0.065509858,0.9
12068.96552,563.5256149,8490.507485,0.4,0.066371252,0.9
12931.03448,563.6192738,8378.912512,0.4,0.067266399,0.9
13793.10345,563.536089,8267.538238,0.4,0.068162502,0.9
14655.17241,563.2791074,8156.391216,0.4,0.069059844,0.9
15517.24138,563.2387033,8048.979169,0.4,0.069976415,0.9
16379.31034,562.7041222,7938.830483,0.4,0.070879977,0.9
17241.37931,562.0143673,7829.011969,0.4,0.071786117,0.9
18103.44828,561.1734029,7719.541534,0.4,0.072695172,0.9
18965.51724,560.1484411,7610.116464,0.4,0.073605765,0.9
19827.58621,559.3770875,7501.717076,0.4,0.07456654,0.9
