,TP_total_temperature,TP_total_pressure
4637,"[81700.50220296897, 81700.50220296897, 373.9962344433729, 456.3921085680335, 634.8502856021693, 555.7332853166704, 468.8858055524465, 467.0980700171972, 467.0980700171972]","[81700.50220296897, 81700.50220296897, 194687.0547218878, 349592.02109063877, 325120.57961429405, 171963.74305950422, 76259.3297474931, 74909.12333417684, 74909.12333417684]"
4638,"[81869.92613565514, 81869.92613565514, 374.1482069621861, 456.58594473727175, 635.1728399862455, 556.0192885626095, 469.1280301891192, 467.3428290036969, 467.3428290036969]","[81869.92613565514, 81869.92613565514, 195110.78677825746, 350371.81109173765, 325845.784315316, 172352.72937874045, 76432.5449391441, 75081.86955405865, 75081.86955405865]"
4639,"[82039.5102429761, 82039.5102429761, 374.30005327411, 456.77959947918805, 635.4949689035392, 556.3049147106993, 469.3699356746606, 467.5872625894301, 467.5872625894301]","[82039.5102429761, 82039.5102429761, 195534.90432338795, 351152.29884791607, 326571.63792856195, 172742.0707435535, 76605.91930967152, 75254.77568747959, 75254.77568747959]"
4640,"[82209.25444039005, 82209.25444039005, 374.4517736119526, 456.97307320081853, 635.8166736964572, 556.5901649506225, 469.61152301575606, 467.83137180940486, 467.83137180940486]","[82209.25444039005, 82209.25444039005, 195959.40716369552, 351933.4840077852, 327298.1401272403, 173131.76698198178, 76779.45278311055, 75427.8416618167, 75427.8416618167]"
4641,"[82379.15864357709, 82379.15864357709, 374.60336821136747, 457.1663663141726, 636.1379557238007, 556.875040486615, 469.8527932314396, 468.07515770641555, 468.07515770641555]","[82379.15864357709, 82379.15864357709, 196384.29511133436, 352715.3662352607, 328025.29059879243, 173521.8179299823, 76953.14528707128, 75601.06740467629, 75601.06740467629]"
4642,"[82549.22276843792, 82549.22276843792, 374.7548373055796, 457.3594792263738, 636.4588163254365, 557.1595425061207, 470.09374732651906, 468.31862131127315, 468.31862131127315]","[82549.22276843792, 82549.22276843792, 196809.56797600066, 353497.9451870995, 328753.08902400255, 173912.2234197569, 77126.99674746188, 75774.45284375311, 75774.45284375311]"
4643,"[82719.44673109282, 82719.44673109282, 374.906181127446, 457.5524123435177, 636.7792568361463, 557.4436721920783, 470.33438630199345, 468.561763650568, 468.561763650568]","[82719.44673109282, 82719.44673109282, 197235.2255681288, 354281.2205216612, 329481.535085145, 174302.98328430488, 77301.0070905467, 75947.99790688488, 75947.99790688488]"
4644,"[82889.83044788078, 82889.83044788078, 375.05739990981516, 457.7451660713482, 637.0992785880698, 557.7274307250907, 470.5747111568913, 468.80458574804584, 468.80458574804584]","[82889.83044788078, 82889.83044788078, 197661.26769945445, 355065.19190045435, 330210.62846742256, 174694.09735822858, 77475.17624331002, 76121.70252206126, 76121.70252206126]"
4645,"[83060.37383535843, 83060.37383535843, 375.20849388497777, 457.93774081423527, 637.4188829070554, 558.0108192801854, 470.8147228855247, 469.04708862257314, 469.04708862257314]","[83060.37383535843, 83060.37383535843, 198087.69418215632, 355849.85898578545, 330940.36885678046, 175085.56547651047, 77649.50413290376, 76295.56661740904, 76295.56661740904]"
4646,"[83231.07681029847, 83231.07681029847, 375.35946328356357, 458.13013697311567, 637.7380711052997, 558.2938390202839, 471.05442247195265, 469.2892732840263, 469.2892732840263]","[83231.07681029847, 83231.07681029847, 198514.50482711737, 356635.22143599443, 331670.7559354748, 175477.3874720366, 77823.99068552794, 76469.59012116186, 76469.59012116186]"
4647,"[83401.93928968927, 83401.93928968927, 375.51030833698775, 458.32235495007217, 638.0568444977754, 558.5764911107791, 471.2938109023386, 469.531140742496, 469.531140742496]","[83401.93928968927, 83401.93928968927, 198941.69944776164, 357421.27891597396, 332401.7893918558, 175869.56318106575, 77998.63582890242, 76643.77296172555, 76643.77296172555]"
4648,"[83572.96119073339, 83572.96119073339, 375.6610292755708, 458.5143951448225, 638.3752043896666, 558.8587767083849, 471.5328891554986, 469.77269200126204, 469.77269200126204]","[83572.96119073339, 83572.96119073339, 199369.27785710222, 358208.0310890801, 333133.4689128445, 176262.09243902334, 78173.4394903663, 76818.11506762716, 76818.11506762716]"
4649,"[83744.14243084694, 83744.14243084694, 375.81162632864266, 458.7062579549165, 638.6931520770901, 559.140696961778, 471.7716582034446, 470.01392805720593, 470.01392805720593]","[83744.14243084694, 83744.14243084694, 199797.23986789447, 358995.4776175506, 333865.79418432206, 176654.97508072105, 78348.40159697711, 76992.6163675174, 76992.6163675174]"
4650,"[83915.48292765797, 83915.48292765797, 375.96209972500935, 458.89794377661485, 639.0106888502606, 559.4222530144042, 472.0101190137632, 470.25484990259093, 470.25484990259093]","[83915.48292765797, 83915.48292765797, 200225.58529336588, 359783.61816451186, 334598.76489299606, 177048.21094139735, 78523.52207598054, 77167.27679018256, 77167.27679018256]"
4651,"[84086.98259900609, 84086.98259900609, 376.1124496946765, 459.089453008115, 639.3278160050781, 559.7034460147623, 472.2482725583349, 470.4954585315562, 470.4954585315562]","[84086.98259900609, 84086.98259900609, 200654.31394995018, 360572.45240147423, 335332.3807333711, 177441.79986061706, 78698.80085657405, 77342.09626459089, 77342.09626459089]"
4652,"[84258.64136294117, 84258.64136294117, 376.26267646385224, 459.28078604020993, 639.6445348096481, 559.9842770866954, 472.4861197881467, 470.7357549213848, 470.7357549213848]","[84258.64136294117, 84258.64136294117, 201083.4256493616, 361361.9799866029, 336066.64138754073, 177835.7416709742, 78874.23786479962, 77517.0747197568, 77517.0747197568]"
4653,"[84430.45913772211, 84430.45913772211, 376.41278026237467, 459.47194327018366, 639.9608465541219, 560.2647473736151, 472.7236616707855, 470.9757400604108, 470.9757400604108]","[84430.45913772211, 84430.45913772211, 201512.9202103778, 362152.2005970297, 336801.54655523767, 178230.03621488888, 79049.83303113679, 77692.21208494213, 77692.21208494213]"
4654,"[84602.43584181624, 84602.43584181624, 376.562761314525, 459.66292508463255, 640.2767524891182, 560.5448579838628, 472.9608991441149, 471.21541491355777, 471.21541491355777]","[84602.43584181624, 84602.43584181624, 201942.79744423635, 362943.11388880777, 337537.09591659124, 178624.68332379175, 79225.58628109329, 77867.50828940571, 77867.50828940571]"
4655,"[84774.57139389822, 84774.57139389822, 376.7126198484889, 459.85373187716505, 640.5922538891986, 560.8246100470312, 473.1978331640251, 471.45478045787735, 471.45478045787735]","[84774.57139389822, 84774.57139389822, 202373.0571696841, 363734.719538184, 338273.2891705111, 179019.68283957744, 79401.4975449026, 78042.96326266047, 78042.96326266047]"
4656,"[84946.86571284872, 84946.86571284872, 376.86235608840633, 460.04436403353634, 640.9073519995897, 561.1040046666913, 473.43446466435427, 471.69383765273625, 471.69383765273625]","[84946.86571284872, 84946.86571284872, 202803.69920030725, 364527.0172068549, 339010.12600237504, 179415.03459654516, 79577.56674936076, 78218.57693425662, 78218.57693425662]"
4657,"[85119.31871775411, 85119.31871775411, 377.01197026114147, 460.23482194431375, 641.222048081604, 561.3830429606937, 473.6707945910565, 471.93258746524685, 471.93258746524685]","[85119.31871775411, 85119.31871775411, 203234.72335533722, 365320.0065716025, 339747.60611159034, 179810.73843680345, 79753.79382478971, 78394.34923396588, 78394.34923396588]"
4658,"[85291.9303279048, 85291.9303279048, 377.1614625905434, 460.42510599414624, 641.5363433741855, 561.6617260270483, 473.90682387327377, 472.1710308487516, 472.1710308487516]","[85291.9303279048, 85291.9303279048, 203666.1294504721, 366113.68729912414, 340485.7291881855, 180206.7941971861, 79930.17869912289, 78570.2800916242, 78570.2800916242]"
