,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,shaft_power,power_rate,EMshaft_power,FC_power,FC_stack_power,H2_fc,BAT_ec,BAT_power,slope_angle,acceleration,CT,TP_thermal_efficiency,TP_air_flow,FC_efficiency,FC_airflow,V_cell,V_stack,V_pack,V_core,I_cell,I_stack,I_pack,I_core,name,ceiling,max_mach,delta_time,BAT_energy
2871,22932.3602443258,134.3295170130278,898.8419815637152,361972.9733754134,621.2468992608982,2631.4633719501735,0.0,3,0.39880778853049664,128.60000000217985,0.37059521931433936,0.031006006059684996,18815.486237883597,0.3040357234902838,0.0,0.29840830955872955,True,1.5561182431416672e-07,7040.292715714901,1075120.053949994,3621690.476657501,1075120.053949994,0.2672534010097058,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2872,22932.025641539894,134.23702526964342,884.781454114656,362241.26422157045,621.5817305906936,2633.4633719501735,0.0,3,0.3984686976012877,128.60000000217985,0.3705898120125393,0.031005894916692395,18815.418792581433,0.3038359852494175,0.0,0.2982072946841047,True,1.558230780287463e-07,7040.39708057598,1074395.8277273027,3620855.5563735566,1074395.8277273027,0.2670733728161998,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982988,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2873,22931.6908102101,134.14469069643906,870.7306079532659,362509.3703377542,621.9167906881529,2635.4633719501735,0.0,3,0.398130237639376,128.60000000217985,0.37058440101738765,0.031005783699577343,18815.35130229927,0.30363659082171557,0.0,0.2980066259187722,True,1.5603453972610073e-07,7040.5015178086305,1073672.8484840994,3620010.0876380596,1073672.8484840994,0.2668936545969222,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982988,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2874,22931.35575011264,134.05251286776672,856.6894266282418,362777.29203787417,622.2520797764315,2637.4633719501735,0.0,3,0.3977924068342591,128.60000000217985,0.37057898632526803,0.031005672408269184,18815.283766994235,0.3034375392805127,0.0,0.29780630232947464,True,1.5624620929163177e-07,7040.606027484882,1072951.1128579986,3619154.0715819676,1072951.1128579986,0.26671424551605105,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2875,22931.020461024364,133.96049135955994,842.6578937328336,363045.0296349898,622.5875980780708,2639.4633719501735,0.0,3,0.39745520338245244,128.60000000217985,0.3705735679325739,0.031005561042697468,18815.21618662359,0.30323882970258165,0.0,0.29760632298641776,True,1.5645808661098276e-07,7040.710609676587,1072230.6174990921,3618287.509361557,1072230.6174990921,0.266535144740866,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982988,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2876,22930.684942722724,133.868625749326,828.6359929046793,363312.5834413136,622.9233458150002,2641.4633719501735,0.0,3,0.39711862548745475,128.60000000217985,0.3705681458357092,0.031005449602791963,18815.1485611447,0.30304046116811467,0.0,0.29740668696325007,True,1.5667017157003832e-07,7040.815264455372,1071511.3590698754,3617410.4021582436,1071511.3590698754,0.2663563514417299,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982988,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2877,22930.349194985796,133.77691561613872,814.6237078256397,363579.95376821415,623.2593232085401,2643.4633719501735,0.0,3,0.3967826713597144,128.60000000217985,0.37056272003108764,0.031005338088482652,18815.080890515066,0.30284243276070966,0.0,0.29720739333705115,True,1.568824640549221e-07,7040.919991892699,1070793.3342452059,3616522.7511783903,1070793.3342452059,0.2661778647920787,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2878,22930.013217592255,133.685360540631,800.6210222216353,363847.14092621946,623.595530479404,2645.4633719501735,0.0,3,0.39644733921659503,128.60000000217985,0.37055729051513225,0.031005226499699726,18815.013174692347,0.3026447435673543,0.0,0.29700844118831426,True,1.5709496395199549e-07,7041.024792059867,1070076.5397122393,3615624.5576531217,1070076.5397122393,0.26599968396840545,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2879,22929.677010321393,133.59396010498762,786.627919862482,364114.14522501983,623.9319678477011,2647.4633719501735,0.0,3,0.39611262728234287,128.60000000217985,0.37055185728427625,0.031005114836373568,18814.945413634294,0.30244739267840864,0.0,0.2968098296009287,True,1.5730767114785671e-07,7041.129665027958,1069360.9721703676,3614715.82283814,1069360.9721703676,0.2658218081502447,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2880,22929.340572953097,133.5027138929377,772.6443845617296,364380.96697347116,624.2686355329384,2649.4633719501735,0.0,3,0.395778533788052,128.60000000217985,0.3705464203349626,0.031005003098434795,18814.8776072988,0.30225037918758973,0.0,0.2966115576621653,True,1.575205855293394e-07,7041.234610867887,1068646.628331165,3613796.5480135484,1068646.628331165,0.2656442365201595,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2881,22929.00390526786,133.41162148974755,758.6704001764995,364647.6064795979,624.6055337540238,2651.4633719501735,0.0,3,0.39544505697163207,128.60000000217985,0.37054097966364385,0.031004891285814202,18814.80975564388,0.30205370219195615,0.0,0.2964136244626601,True,1.5773370698351107e-07,7041.33962965038,1067933.5049183313,3612866.734483661,1067933.5049183313,0.26546696826372684,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2882,22928.667007046774,133.32068248221353,744.7059506073242,364914.06405059627,624.9426627292676,2653.4633719501735,0.0,3,0.39511219507777456,128.60000000217985,0.370535535266783,0.03100477939844283,18814.741858627658,0.30185736079189157,0.0,0.296216029096398,True,1.5794703539767265e-07,7041.444721445962,1067221.5986676302,3611926.3835768285,1067221.5986676302,0.26529000256952284,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2883,22928.32987807153,133.22989645865488,730.7510197979872,365180.339992837,625.2800226763858,2655.4633719501735,0.0,3,0.3947799463579207,128.60000000217985,0.37053008714085156,0.031004667436251885,18814.673916208405,0.30166135409109074,0.0,0.29601877066069865,True,1.5816057065935597e-07,7041.549886325005,1066510.906326841,3610975.4966452587,1066510.906326841,0.26511333862911024,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2884,22927.99251812441,133.13926300890654,716.805591735363,365446.4346118688,625.6176138125018,2657.4633719501735,0.0,3,0.3944483090702282,128.60000000217985,0.3705246352823311,0.031004555399172795,18814.60592834452,0.3014656811965436,0.0,0.2958218482562004,True,1.5837431265632296e-07,7041.655124357697,1065801.4246557,3610014.075064835,1065801.4246557,0.264936975637024,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2885,22927.654926988296,133.04878172431194,702.8696504492592,365712.3482124211,625.955436354149,2659.4633719501735,0.0,3,0.3941172814795386,128.60000000217985,0.37051917968771314,0.03100444328713721,18814.537894994508,0.3012703412185181,0.0,0.29562526098684305,True,1.5858826127656516e-07,7041.760435614031,1065093.1504258374,3609042.1202349486,1065093.1504258374,0.2647609127907559,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2886,22927.31710444665,132.95845219771627,688.943180012258,365978.08109840716,626.2934905172733,2661.4633719501735,0.0,3,0.393786861857346,128.60000000217985,0.37051372035349833,0.031004331100076943,18814.469816116994,0.30107533327054653,0.0,0.29542900795985416,True,1.5880241640830148e-07,7041.865820163815,1064386.0804207288,3608059.6335783154,1064386.0804207288,0.26458514929074217,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
