,mass,true_airspeed,altitude,ground_distance,alpha,EM_power_rate,TP_power_rate,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass
906,23560.238120898488,26.893653600505036,0.0,126.13323442253696,-0.017453292519943295,0.0,1.0,9.059999999999851,1,0.0790303493512757,26.893653600505036,1.0,False,1.0247580852794762e-07,65000.32957818151,3602848.91375788,3615386.8893958842,,2545.9077311525743,,,,1.224611316387356,0.8462812267338103,0.07291926016013357,1935.216455858149,0.0,2.641119370133019,take off,0.009999999999999787,3.3410759141544015
907,23560.234428849933,26.920064794206368,0.0,126.40217095854202,-0.017453292519943295,0.0,1.0,9.069999999999851,1,0.07910796193214725,26.920064794206368,1.0,False,1.0247638834617042e-07,64986.83957158941,3602848.91375788,3615371.7143024635,,2546.274013209076,,,,1.2219559159302615,0.8462812267338103,0.07291926016013357,1939.0193213713446,0.0,2.640393344965026,take off,0.009999999999999787,3.3447679835987896
908,23560.23073678049,26.94646872765602,0.0,126.67137160648407,-0.017453292519943295,0.0,1.0,9.07999999999985,1,0.07918555317786533,26.94646872765602,1.0,False,1.0247696833583121e-07,64973.3526303126,3602848.91375788,3615356.544694088,,2546.639551584412,,,,1.2193092826626608,0.8462812267338103,0.07291926016013357,1942.8248727753862,0.0,2.639667340957835,take off,0.009999999999999787,3.348460073939329
909,23560.22704469015,26.972865401065597,0.0,126.94083629376063,-0.017453292519943295,0.0,1.0,9.08999999999985,1,0.07926312308905178,26.972865401065597,1.0,False,1.0247754849672794e-07,64959.8687548572,3602848.91375788,3615341.380567282,,2547.0043468957356,,,,1.216671378035616,0.8462812267338103,0.07291926016013357,1946.6331070232925,0.0,2.6389413582562593,take off,0.009999999999999787,3.352152185182189
910,23560.223352578905,26.99925481464816,0.0,127.21056494777127,-0.017453292519943295,0.0,1.0,9.09999999999985,1,0.07934067166633271,26.99925481464816,1.0,False,1.0247812882865849e-07,64946.38794572837,3602848.91375788,3615326.221918572,,2547.368399759978,,,,1.2140421637118506,0.8462812267338103,0.07291926016013357,1950.4440210692587,0.0,2.6382153970050224,take off,0.009999999999999787,3.3558443173335317
911,23560.219660446754,27.025636968618212,0.0,127.48055749591775,-0.017453292519943295,0.0,1.0,9.10999999999985,1,0.07941819891033847,27.025636968618212,1.0,False,1.0247870933142081e-07,64932.91020343027,3602848.91375788,3615311.0687444867,,2547.7317107938443,,,,1.211421601564358,0.8462812267338103,0.07291926016013357,1954.2576118686538,0.0,2.6374894573487584,take off,0.009999999999999787,3.3595364703995116
912,23560.215968293687,27.052011863191698,0.0,127.75081386560393,-0.017453292519943295,0.0,1.0,9.11999999999985,1,0.07949570482170361,27.052011863191698,1.0,False,1.0247929000481286e-07,64919.435528466114,3602848.91375788,3615295.9210415594,,2548.0942806138187,,,,1.2088096536750181,0.8462812267338103,0.07291926016013357,1958.0738763780241,0.0,2.636763539432015,take off,0.009999999999999787,3.3632286443862767
913,23560.2122761197,27.078379498586017,0.0,128.02133398423584,-0.017453292519943295,0.0,1.0,9.12999999999985,1,0.079573189401067,27.078379498586017,1.0,False,1.0247987084863259e-07,64905.96392133809,3602848.91375788,3615280.778806326,,2548.4561098361582,,,,1.2062062823332242,0.8462812267338103,0.07291926016013357,1961.8928115550948,0.0,2.636037643399247,take off,0.009999999999999787,3.366920839299967
914,23560.208583924785,27.10473987502001,0.0,128.2921177792217,-0.017453292519943295,0.0,1.0,9.13999999999985,1,0.07965065264907174,27.10473987502001,1.0,False,1.0248045186267795e-07,64892.49538254741,3602848.91375788,3615265.642035325,,2548.8171990768983,,,,1.2036114500345236,0.8462812267338103,0.07291926016013357,1965.7144143587675,0.0,2.6353117693948214,take off,0.009999999999999787,3.3706130551467157
915,23560.204891708938,27.131092992713956,0.0,128.5631651779719,-0.017453292519943295,0.0,1.0,9.14999999999985,1,0.07972809456636516,27.131092992713956,1.0,False,1.0248103304674693e-07,64879.02991259433,3602848.91375788,3615250.5107251005,,2549.1775489518454,,,,1.2010251194792658,0.8462812267338103,0.07291926016013357,1969.5386817491237,0.0,2.6345859175630153,take off,0.009999999999999787,3.3743052919326484
916,23560.20119947215,27.157438851889587,0.0,128.83447610789906,-0.017453292519943295,0.0,1.0,9.15999999999985,1,0.07980551515359881,27.157438851889587,1.0,False,1.024816144006375e-07,64865.56751197809,3602848.91375788,3615235.3848721967,,2549.537160076584,,,,1.1984472535712618,0.8462812267338103,0.07291926016013357,1973.3656106874244,0.0,2.6338600880480176,take off,0.009999999999999787,3.3779975496638834
917,23560.19750721442,27.183777452770066,0.0,129.10605049641796,-0.017453292519943295,0.0,1.0,9.169999999999849,1,0.07988291441142852,27.183777452770066,1.0,False,1.0248219592414764e-07,64852.108181196985,3602848.91375788,3615220.264473163,,2549.896033066472,,,,1.1958778154164538,0.8462812267338103,0.07291926016013357,1977.195198136111,0.0,2.6331342809939273,take off,0.009999999999999787,3.3816898283465315
918,23560.193814935737,27.210108795580005,0.0,129.37788827094568,-0.017453292519943295,0.0,1.0,9.179999999999849,1,0.0799602923405143,27.210108795580005,1.0,False,1.0248277761707538e-07,64838.65192074831,3602848.91375788,3615205.149524552,,2550.2541685366423,,,,1.1933167683215955,0.8462812267338103,0.07291926016013357,1981.0274410588065,0.0,2.6324084965447536,take off,0.009999999999999787,3.385382127986697
919,23560.190122636097,27.236432880545454,0.0,129.64998935890148,-0.017453292519943295,0.0,1.0,9.189999999999849,1,0.08003764894152046,27.236432880545454,1.0,False,1.024833594792187e-07,64825.19873112835,3602848.91375788,3615190.040022919,,2550.6115671020043,,,,1.19076407579294,0.8462812267338103,0.07291926016013357,1984.8623364203172,0.0,2.6316827348444174,take off,0.009999999999999787,3.3890744485904767
920,23560.186430315494,27.2627497078939,0.0,129.92235368770693,-0.017453292519943295,0.0,1.0,9.199999999999848,1,0.08011498421511548,27.2627497078939,1.0,False,1.0248394151037563e-07,64811.74861283248,3602848.91375788,3615174.9359648223,,2550.968229377237,,,,1.1882197015349425,0.8462812267338103,0.07291926016013357,1988.6998811866306,0.0,2.6309569960367485,take off,0.009999999999999787,3.3927667901639595
921,23560.182737973922,27.289059277854268,0.0,130.19498118478586,-0.017453292519943295,0.0,1.0,9.209999999999848,1,0.0801922981619721,27.289059277854268,1.0,False,1.024845237103442e-07,64798.30156635502,3602848.91375788,3615159.8373468257,,2551.3241559767935,,,,1.1856836094489671,0.8462812267338103,0.07291926016013357,1992.5400723249193,0.0,2.6302312802654884,take off,0.009999999999999787,3.3964591527132275
922,23560.179045611374,27.315361590656924,0.0,130.4678717775644,-0.017453292519943295,0.0,1.0,9.219999999999848,1,0.08026959078276727,27.315361590656924,1.0,False,1.0248510607892245e-07,64784.85759218936,3602848.91375788,3615144.744165492,,2551.679347514907,,,,1.183155763632008,0.8462812267338103,0.07291926016013357,1996.38290680354,0.0,2.6295055876742888,take off,0.009999999999999787,3.4001515362443553
923,23560.17535322784,27.341656646533668,0.0,130.74102539347098,-0.017453292519943295,0.0,1.0,9.229999999999848,1,0.08034686207818216,27.341656646533668,1.0,False,1.0248568861590843e-07,64771.41669082787,3602848.91375788,3615129.6564173894,,2552.0338046055736,,,,1.1806361283754179,0.8462812267338103,0.07291926016013357,2000.2283815920346,0.0,2.6287799184067127,take off,0.009999999999999787,3.403843940763411
924,23560.171660823322,27.367944445717736,0.0,131.0144419599363,-0.017453292519943295,0.0,1.0,9.239999999999847,1,0.08042411204890217,27.367944445717736,1.0,False,1.0248627132110022e-07,64757.97886276197,3602848.91375788,3615114.5740990913,,2552.3875278625737,,,,1.1781246681636468,0.8462812267338103,0.07291926016013357,2004.0764936611315,0.0,2.628054272606232,take off,0.009999999999999787,3.407536366276454
925,23560.167968397807,27.3942249884438,0.0,131.28812140439348,-0.017453292519943295,0.0,1.0,9.249999999999847,1,0.0805013406956169,27.3942249884438,1.0,False,1.0248685419429588e-07,64744.5441084821,3602848.91375788,3615099.4972071713,,2552.7405178994513,,,,1.1756213476729909,0.8462812267338103,0.07291926016013357,2007.927239982746,0.0,2.6273286504162305,take off,0.009999999999999787,3.411228812789538
926,23560.164275951294,27.42049827494796,0.0,131.56206365427792,-0.017453292519943295,0.0,1.0,9.259999999999847,1,0.08057854801902019,27.42049827494796,1.0,False,1.0248743723529344e-07,64731.112428477696,3602848.91375788,3615084.425738209,,2553.0927753295286,,,,1.1731261317703485,0.8462812267338103,0.07291926016013357,2011.7806175299816,0.0,2.6266030519800014,take off,0.009999999999999787,3.414921280308708
927,23560.160583483776,27.44676430546776,0.0,131.8362686370274,-0.017453292519943295,0.0,1.0,9.269999999999847,1,0.08065573401981005,27.44676430546776,1.0,False,1.0248802044389106e-07,64717.68382323725,3602848.91375788,3615069.359688784,,2553.4443007658965,,,,1.1706389855119903,0.8462812267338103,0.07291926016013357,2015.6366232771293,0.0,2.6258774774407487,take off,0.009999999999999787,3.4186137688400025
928,23560.156890995244,27.473023080242168,0.0,132.11073628008208,-0.017453292519943295,0.0,1.0,9.279999999999847,1,0.08073289869868876,27.473023080242168,1.0,False,1.0248860381988684e-07,64704.258293248226,3602848.91375788,3615054.299055481,,2553.79509482142,,,,1.1681598741423318,0.8462812267338103,0.07291926016013357,2019.495254199671,0.0,2.6251519269415877,take off,0.009999999999999787,3.4223062783894527
929,23560.153198485696,27.499274599511583,0.0,132.3854665108845,-0.017453292519943295,0.0,1.0,9.289999999999846,1,0.08081004205636272,27.499274599511583,1.0,False,1.0248918736307885e-07,64690.83583899716,3602848.91375788,3615039.243834889,,2554.145158108738,,,,1.1656887630927226,0.8462812267338103,0.07291926016013357,2023.356507274277,0.0,2.6244264006255418,take off,0.009999999999999787,3.4259988089630826
930,23560.149505955123,27.52551886351784,0.0,132.66045925687962,-0.017453292519943295,0.0,1.0,9.299999999999846,1,0.08088716409354263,27.52551886351784,1.0,False,1.0248977107326523e-07,64677.41646096958,3602848.91375788,3615024.1940235985,,2554.4944912402543,,,,1.1632256179802392,0.8462812267338103,0.07291926016013357,2027.2203794788095,0.0,2.6237008986355472,take off,0.009999999999999787,3.429691360566909
931,23560.14581340352,27.551755872504195,0.0,132.9357144455148,-0.017453292519943295,0.0,1.0,9.309999999999846,1,0.0809642648109433,27.551755872504195,1.0,False,1.0249035495024414e-07,64664.00015965003,3602848.91375788,3615009.1496182033,,2554.8430948281534,,,,1.1607704046064882,0.8462812267338103,0.07291926016013357,2031.086867792323,0.0,2.6229754211144494,take off,0.009999999999999787,3.4333839332069402
932,23560.14212083088,27.57798562671534,0.0,133.21123200423983,-0.017453292519943295,0.0,1.0,9.319999999999846,1,0.0810413442092838,27.57798562671534,1.0,False,1.0249093899381373e-07,64650.586935522115,3602848.91375788,3614994.1106153005,,2555.1909694843835,,,,1.1583230889564224,0.8462812267338103,0.07291926016013357,2034.9559691950622,0.0,2.6222499682050042,take off,0.009999999999999787,3.437076526889179
933,23560.138428237195,27.60420812639739,0.0,133.48701186050698,-0.017453292519943295,0.0,1.0,9.329999999999846,1,0.08111840228928738,27.60420812639739,1.0,False,1.0249152320377212e-07,64637.176789068406,3602848.91375788,3614979.0770114907,,2555.5381158206683,,,,1.1558836371971577,0.8462812267338103,0.07291926016013357,2038.8276806684673,0.0,2.6215245400498777,take off,0.009999999999999787,3.44076914161962
934,23560.134735622465,27.63042337179789,0.0,133.76305394177095,-0.017453292519943295,0.0,1.0,9.339999999999845,1,0.08119543905168146,27.63042337179789,1.0,False,1.0249210757991751e-07,64623.76972077056,3602848.91375788,3614964.048803379,,2555.884534448499,,,,1.1534520156768076,0.8462812267338103,0.07291926016013357,2042.7019991951715,0.0,2.6207991367916463,take off,0.009999999999999787,3.4444617774042507
935,23560.13104298668,27.656631363165804,0.0,134.03935817548893,-0.017453292519943295,0.0,1.0,9.349999999999845,1,0.08127245449719768,27.656631363165804,1.0,False,1.0249269212204809e-07,64610.36573110918,3602848.91375788,3614949.025987571,,2556.230225979138,,,,1.1510281909233206,0.8462812267338103,0.07291926016013357,2046.5789217590022,0.0,2.6200737585727962,take off,0.009999999999999787,3.448154434249051
936,23560.127350329833,27.682832100751533,0.0,134.3159244891206,-0.017453292519943295,0.0,1.0,9.359999999999845,1,0.08134944862657184,27.682832100751533,1.0,False,1.0249327682996203e-07,64596.96482056396,3602848.91375788,3614934.0085606785,,2556.5751910236218,,,,1.1486121296433278,0.8462812267338103,0.07291926016013357,2050.4584453449843,0.0,2.6193484055357246,take off,0.009999999999999787,3.451847112159994
937,23560.123657651922,27.70902558480689,0.0,134.5927528101281,-0.017453292519943295,0.0,1.0,9.369999999999845,1,0.08142642144054395,27.70902558480689,1.0,False,1.0249386170345758e-07,64583.56698961358,3602848.91375788,3614918.9965193123,,2556.9194301927528,,,,1.1462037987210012,0.8462812267338103,0.07291926016013357,2054.3405669393374,0.0,2.618623077822738,take off,0.009999999999999787,3.4555398111430455
938,23560.11996495294,27.735211815585117,0.0,134.86984306597617,-0.017453292519943295,0.0,1.0,9.379999999999844,1,0.08150337293985818,27.735211815585117,1.0,False,1.024944467423329e-07,64570.17223873577,3602848.91375788,3614903.989860092,,2557.262944097104,,,,1.1438031652169176,0.8462812267338103,0.07291926016013357,2058.2252835294776,0.0,2.6178977755760546,take off,0.009999999999999787,3.459232531204164
939,23560.11627223288,27.761390793340876,0.0,135.14719518413202,-0.017453292519943295,0.0,1.0,9.389999999999844,1,0.08158030312526289,27.761390793340876,1.0,False,1.0249503194638631e-07,64556.78056840726,3602848.91375788,3614888.9885796346,,2557.605733347019,,,,1.1414101963669319,0.8462812267338103,0.07291926016013357,2062.11259210402,0.0,2.617172498937801,take off,0.009999999999999787,3.4629252723493
940,23560.112579491735,27.787562518330255,0.0,135.42480909206543,-0.017453292519943295,0.0,1.0,9.399999999999844,1,0.08165721199751062,27.787562518330255,1.0,False,1.0249561731541598e-07,64543.39197910379,3602848.91375788,3614873.9926745663,,2557.947798552606,,,,1.1390248595810581,0.8462812267338103,0.07291926016013357,2066.00248965278,0.0,2.616447248050015,take off,0.009999999999999787,3.4666180345843975
941,23560.1088867295,27.813726990810753,0.0,135.70268471724873,-0.017453292519943295,0.0,1.0,9.409999999999844,1,0.08173409955735808,27.813726990810753,1.0,False,1.024962028492202e-07,64530.00647130019,3602848.91375788,3614859.002141511,,2558.289140323756,,,,1.1366471224423642,0.8462812267338103,0.07291926016013357,2069.8949731667676,0.0,2.6157220230546456,take off,0.009999999999999787,3.4703108179153936
942,23560.10519394617,27.8398842110413,0.0,135.98082198715684,-0.017453292519943295,0.0,1.0,9.419999999999844,1,0.08181096580556615,27.8398842110413,1.0,False,1.0249678854759725e-07,64516.62404547022,3602848.91375788,3614844.0169770992,,2558.6297592701085,,,,1.1342769527058632,0.8462812267338103,0.07291926016013357,2073.790039638198,0.0,2.614996824093548,take off,0.009999999999999787,3.4740036223482176
