,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
1145,23349.030580408788,136.1089097301223,6095.999999999998,123870.96379835527,305.7015173159807,1249.2283110139006,0.0,3,0.43067934826731413,99.35126509607596,0.6310895693085102,0.038415563304454926,13938.169229669567,1.0,0.0,1.0,False,7.927150644016049e-08,16855.389905518165,2510694.230105141,2510694.230105141,986.5308024794579,0.0,0.12493969142754549,,,,,,climb,,0.4757883198134007,0.20000000000004547
1146,23348.99077510602,136.1338976684078,6095.999999999998,123898.18558030129,305.741323424465,1249.4283110139006,0.0,3,0.4307584157508219,99.36950477844304,0.6308568369023725,0.038407069879558275,13940.204687825719,1.0,0.0,1.0,False,7.92702958930346e-08,16852.987482634227,2510783.392181242,2510783.392181242,986.253076643268,0.0,0.12474983706422244,,,,,,climb,,0.4757883198134007,0.20000000000004547
1147,23348.950968997535,136.15884763582065,6095.999999999998,123925.41235983497,305.7811303376164,1249.6283110139007,0.0,3,0.4308373630859079,99.38771674437157,0.6306245845202987,0.03839859727877255,13942.238606795912,1.0,0.0,1.0,False,7.926908735112854e-08,16850.589372131093,2510872.4271685057,2510872.4271685057,985.9757292832168,0.0,0.12456023267156006,,,,,,climb,,0.4757883198134007,0.20000000000004547
1148,23348.911162084383,136.18375968235497,6095.999999999998,123952.64412936213,305.82093805438456,1249.8283110139007,0.0,3,0.43091619043076496,99.4059010303542,0.6303928110236094,0.03839014544010569,13944.270982865357,1.0,0.0,1.0,False,7.926788081133229e-08,16848.195565871396,2510961.3352042497,2510961.3352042497,985.6987600356138,0.0,0.12437087806139918,,,,,,climb,,0.4757883198134007,0.20000000000004547
1149,23348.871354367617,136.20863385796724,6095.999999999998,123979.88088129861,305.8607465737201,1250.0283110139007,0.0,3,0.4309948979434665,99.42405767285616,0.6301615152768123,0.03838171430178858,13946.30181234616,1.0,0.0,1.0,False,7.926667627053734e-08,16845.806055734312,2511050.116425811,2511050.116425811,985.4221685365931,0.0,0.1241817730451358,,,,,,climb,,0.4757883198134007,0.20000000000004547
1150,23348.831545848283,136.23347021257626,6095.999999999998,124007.1226080702,305.9005558945745,1250.2283110139008,0.0,3,0.431073485781967,99.44218670831515,0.6299306961475909,0.03837330380227414,13948.33109157723,1.0,0.0,1.0,False,7.926547372564044e-08,16843.42083361545,2511138.77097054,2511138.77097054,985.1459544221144,0.0,0.12399291743372076,,,,,,climb,,0.4757883198134007,0.20000000000004547
1151,23348.79173652743,136.25826879606302,6095.999999999998,124034.36930211273,305.9403660158999,1250.4283110139008,0.0,3,0.4311519541041011,99.46028817314125,0.6297003525067946,0.03836491388023636,13950.358816924132,1.0,0.0,1.0,False,7.926427317354187e-08,16841.03989142687,2511227.298975803,2511227.298975803,984.8701173279647,0.0,0.12380431103766644,,,,,,climb,,0.4757883198134007,0.20000000000004547
1152,23348.751926406105,136.28302965827055,6095.999999999998,124061.62095587194,305.98017693664934,1250.6283110139009,0.0,3,0.43123030306758353,99.47836210371689,0.6294704832284282,0.03835654447456938,13952.384984778993,1.0,0.0,1.0,False,7.9263074611145e-08,16838.66322109702,2511315.70057898,2511315.70057898,984.5946568897662,0.0,0.12361595366704851,,,,,,climb,,0.4757883198134007,0.20000000000004547
1153,23348.712115485356,136.30775284900395,6095.999999999998,124088.8775618036,306.0199886557767,1250.828311013901,0.0,3,0.4313085328300088,99.49640853639676,0.6292410871896423,0.03834819552438661,13954.40959156041,1.0,0.0,1.0,False,7.926187803535687e-08,16836.290814570704,2511403.975917465,2511403.975917465,984.3195727429686,0.0,0.12342784513150813,,,,,,climb,,0.4757883198134007,0.20000000000004547
1154,23348.672303766227,136.33243841803025,6095.999999999998,124116.1391123734,306.05980117223663,1251.028311013901,0.0,3,0.43138664354885103,99.51442750750778,0.629012163270721,0.0383398669690197,13956.432633713299,1.0,0.0,1.0,False,7.92606834430893e-08,16833.922663809048,2511492.125128663,2511492.125128663,984.0448645228621,0.0,0.12323998524025707,,,,,,climb,,0.4757883198134007,0.20000000000004547
