,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,H2_fc,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time,H2_mass
4509,22955.15173234052,146.23116784756007,3048.0000000000005,441457.93869158457,175.96666063568475,3560.160584498364,0.0,3,0.44529956012562766,125.6634935981828,0.38850347091154064,0.031383915025526087,18184.989700715898,1.0,0.0,1.0,False,8.661736608378173e-08,18682.944158563972,2982086.377516257,2982086.377516257,987.8252260425617,0.0,0.0,0.0216924925460862,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
4510,22955.10007224703,146.2355063460693,3048.0000000000005,441487.1849251541,176.01832084362985,3560.360584498364,0.0,3,0.4453127716147116,125.66722187914823,0.3884795448320428,0.03138339702902312,18185.76860522913,1.0,0.0,1.0,False,8.66172462099025e-08,18682.451019885175,2982097.1114660366,2982097.1114660366,987.7633329192189,0.0,0.0,0.021637126960580805,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
4511,22955.048412039087,146.2398337714614,3048.0000000000005,441516.4320264233,176.06998116574042,3560.560584498364,0.0,3,0.4453259493842115,125.67094064445021,0.38845567973281336,0.03138288038764225,18186.54553730564,1.0,0.0,1.0,False,8.661712664846789e-08,18681.959161184495,2982107.818022059,2982107.818022059,987.7015965674627,0.0,0.0,0.021581902812238447,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
4512,22954.996751716975,146.24415015202385,3048.0000000000005,441545.6799931776,176.12164160172844,3560.7605844983636,0.0,3,0.4453390935202673,125.67464991839748,0.38843187544727165,0.0313823650975104,18187.320501765997,1.0,0.0,1.0,False,8.661700739864737e-08,18681.468579081607,2982118.4972542776,2982118.4972542776,987.6400165928853,0.0,0.0,0.021526819744753387,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
4513,22954.945091280988,146.2484555159728,3048.0000000000005,441574.92882320797,176.17330215130664,3560.9605844983635,0.0,3,0.4453522041088024,125.67834972523757,0.38840813180931344,0.031381851154766445,18188.09350341977,1.0,0.0,1.0,False,8.661688845961197e-08,18680.9792702053,2982129.149232473,2982129.149232473,987.5785926020409,0.0,0.0,0.02147187740269279,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
4514,22954.89343073141,146.25274989145333,3048.0000000000005,441604.17851431115,176.22496281418847,3561.1605844983633,0.0,3,0.4453652812355233,125.6820400891569,0.3883844486533106,0.031381338555561224,18188.864547065517,1.0,0.0,1.0,False,8.661676983053548e-08,18680.491231193428,2982139.774026248,2982139.774026248,987.5173242024438,0.0,0.0,0.021417075431495288,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
4515,22954.841770068528,146.25703330653963,3048.0000000000005,441633.42906428943,176.27662359008806,3561.360584498363,0.0,3,0.44537832498592095,125.68572103428096,0.38836082581410836,0.031380827296057415,18189.63363749085,1.0,0.0,1.0,False,8.661665151059389e-08,18680.00445869289,2982150.3717050306,2982150.3717050306,987.4562110025678,0.0,0.0,0.021362413477467212,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
4516,22954.79010929263,146.2613057892351,3048.0000000000005,441662.6804709507,176.3282844787203,3561.560584498363,0.0,3,0.4453913354452707,125.68939258467447,0.38833726312702455,0.0313803173724296,18190.400779472428,1.0,0.0,1.0,False,8.661653349896485e-08,18679.518949359623,2982160.9423380746,2982160.9423380746,987.3952526118418,0.0,0.0,0.021307891187782577,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
4517,22954.738448403998,146.26556736747267,3048.0000000000005,441691.9327321086,176.3799454798007,3561.7605844983627,0.0,3,0.445404312698633,125.69305476434147,0.3883137604278481,0.03137980878086412,18191.165977775974,1.0,0.0,1.0,False,8.661641579482875e-08,18679.034699858534,2982171.485994459,2982171.485994459,987.334448640646,0.0,0.0,0.021253508210479312,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
4518,22954.686787402916,146.26981806911476,3048.0000000000005,441721.18584558205,176.43160659304564,3561.9605844983626,0.0,3,0.445417256830854,125.69670759722553,0.3882903175528374,0.031379301517559105,18191.92923715632,1.0,0.0,1.0,False,8.661629839736822e-08,18678.551706863527,2982182.0027430896,2982182.0027430896,987.2737987003146,0.0,0.0,0.021199264194458778,,,,,,diversion climb,,0.4479061037479853,0.1999999999998181,0.09223362908726725
