,Unnamed: 0,mass,true_airspeed,altitude,ground_distance,alpha,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass,max_mach,EI_NOx,NOx_delta,NOx
2895,2895,21919.582383898796,107.97228447997813,4170.383245647873,59156.984819213234,,632.1421588687684,2,0.333357384359799,87.49999999999999,1.0,False,8.457285670248195e-08,23820.670250537798,2849113.0944003086,0.9998930233182608,2849417.915673815,0.29741942897081863,1615.4233994627282,5.435880665656078,0.24232959419157085,0.7651545478325821,0.04388124152057954,12327.71807228493,0.05346611749206108,0.0,climb,2.0,168.8339458062122,,0.0030085150039716253,0.0014498493111832626,0.5663290581966495
2896,2896,21919.100468631867,108.03833594584236,4181.923463315584,59372.62080934356,,634.1421588687684,2,0.3336092492473519,87.49999999999999,1.0,False,8.455136114131572e-08,23793.629433579867,2847354.726977605,0.9998926269496768,2847660.4889705908,0.2975076034212008,1614.3977724821923,5.4307371577374575,0.24235074746142604,0.7651377254473877,0.04388048926202391,12327.50673753072,0.05334247739722734,0.0,climb,2.0,169.31544124184842,,0.0030063948379757503,0.0014475653922056148,0.5677766235888551
2897,2897,21918.618973196237,108.10433438729991,4193.4440629972105,59588.390139691415,,636.1421588687684,2,0.3338609480845779,87.49999999999999,1.0,False,8.452991333940558e-08,23766.65601663144,2845599.777073024,0.9998922272025128,2845906.4883766635,0.2975956498579395,1613.3745854823983,5.425606475073703,0.24237185793406105,0.7651209177173915,0.04387973767618603,12327.29559176557,0.05321914353088826,0.0,climb,2.0,169.7965178469576,,0.003004279763950393,0.0014452887096395074,0.5692219122984946
2898,2898,21918.137896591124,108.17027973065126,4204.945072371047,59804.29269927945,,638.1421588687684,2,0.33411248048642195,87.49999999999999,1.0,False,8.45085131963119e-08,23739.749817669745,2843848.238594476,0.9998918241686224,2844155.9075243394,0.2976835683583344,1612.3538319831641,5.4204885825388285,0.242392925696064,0.7651041246076595,0.043878986761458384,12327.084634537881,0.05309611507799785,0.0,climb,2.0,170.27717661975674,,0.0030021697687695787,0.0014430192367914376,0.5706649315352861
2899,2899,21917.657237818326,108.23617190254038,4216.4265190931565,60020.32837700236,,640.1421588687684,2,0.3343638460691478,87.49999999999999,1.0,False,8.448716061778885e-08,23712.91065516104,2842100.104597256,0.9998914176376618,2842408.7400529813,0.2977713589766265,1611.3355048668554,5.415383444501775,0.2424139508335403,0.7650873460833464,0.04387823651623764,12326.87386539722,0.05297339122564467,0.0,climb,2.0,170.7574185558147,,0.0030000648383553138,0.0014407569462711386,0.5721056884815572
2900,2900,21917.17699588227,108.30201082995431,4227.88843079729,60236.49706162747,,642.1421588687684,2,0.3346150444503377,87.49999999999999,1.0,False,8.446585550346662e-08,23686.13834805966,2840355.3690707614,0.9998910077251266,2840664.9796090415,0.2978590217919073,1610.3195977362266,5.410291026098906,0.2424349334321149,0.7650705821096997,0.04387748693892475,12326.66328389436,0.05285097116304762,0.0,climb,2.0,171.23724464817948,,0.0029979649597379086,0.001438501811677602,0.5735441902932348
2901,2901,21916.697169789906,108.36779644022322,4239.330835094845,60452.79864179539,,644.1421588687684,2,0.3348660752488934,87.49999999999999,1.0,False,8.444459775648751e-08,23659.432715806743,2838614.0255405195,0.9998905943809234,2838924.619846065,0.2979465568706308,1609.3061038518892,5.405211292237736,0.2424558735769323,0.7650538326520543,0.043876738027924835,12326.45288958125,0.052728854081550924,0.0,climb,2.0,171.71665588732492,,0.002995870119443645,0.0014362538062812596,0.574980444099516
2902,2902,21916.21775855076,108.43352866101989,4250.7537595747835,60669.23300602058,,646.1421588687684,2,0.33511693808503545,87.49999999999999,1.0,False,8.442338727936911e-08,23632.793578329336,2836876.067668362,0.9998901776003832,2837187.654424733,0.2980339642827076,1608.2950165884286,5.400144208024161,0.2424767713526591,0.7650370976758357,0.04387598978164716,12326.242682010996,0.052607039174620535,0.0,climb,2.0,172.19565326117356,,0.002993780304186812,0.0014340129035852727,0.5764144570031012
2903,2903,21915.738761176908,108.49920742035977,4262.157231803589,60885.80004269202,,648.1421588687684,2,0.3353676325803045,87.49999999999999,1.0,False,8.440222397719919e-08,23606.220756039053,2835141.4887883863,0.9998897572607508,2835454.077012852,0.29812124408903584,1607.2863290812982,5.395089738431549,0.2424976268434835,0.7650203771465585,0.043875242198505235,12326.032660737896,0.05248552563783844,0.0,climb,2.0,172.6742377550611,,0.0029916955003342197,0.0014317790768931214,0.5778462360799943
2904,2904,21915.260176683027,108.56483264660059,4273.541279325188,61102.49964007377,,650.1421588687684,2,0.33561815835756115,87.49999999999999,1.0,False,8.438110775143138e-08,23579.714069831152,2833410.2828078456,0.999889333438722,2833723.8812853987,0.29820839636571456,1606.2800349122958,5.3900478489420935,0.2425184401331181,0.7650036710298262,0.04387449527691666,12325.82282531741,0.052364312668899037,0.0,climb,2.0,173.15241035181634,,0.002989615694944382,0.001429552300151744,0.579275788380146
